sigla;nombre;departamento;cargo;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
CC;Silvia Gilma Salame Farjat;Chuquisaca;Senador;https://web.senado.gob.bo/senadoras-es/silvia-gilma-salame-farjat;https://www.facebook.com/carlosdmesag/photos/silvia-gilma-salame-farjat-naci%C3%B3-en-sucre-abogada-docente-universitaria-e-invest/423546128242267/;https://twitter.com/gilmafarjat?lang=en;https://boliviaverifica.bo/en/crean-una-cuenta-falsa-en-twitter-de-la-senadora-silvia-salame/;http://bit.ly/1WtaxTd;https://laresistencia.info/candidata-a-senadora-de-mesa-por-chuquisaca-silvia-salame-fue-puesta-por-goni-el-ano-2003/;http://bibliotecas.uasb.edu.bo/cgi-bin/koha/opac-search.pl?q=au:%22Salame%20Farjat%20Silvia%22;https://en.wikipedia.org/wiki/Current_members_of_the_Plurinational_Legislative_Assembly;https://www.derechoteca.com/jurisprudencia/expediente-10075-2015-21-aac-ingresado-el-13-de-febrero-de-2015/;https://docplayer.es/35098983-Curriculo-registro-domiciliario-en-sucre-perez-425-telefonos-espanol-quechua.html;https://bolivia.vlex.com/vid/auto-n-462-2016-702980029;https://correodelsur.com/politica/20190915_sucre-del-olvido-a-ser-enlace-comercial-plantean-tres-candidatos.html;https://www.fubidebolivia.org/publicaciones;https://red-pais.com/en/34/politica/3312/Senadora-de-CC-Silvia-Salame-Pedido-de-renuncia-de-Presidente-Evo-es-anticonstitucional-y-desconoce-voto-del-pueblo.htm;http://www.icach.org.bo/images/Activos/AbogadosActivos.pdf;https://www.paginasiete.bo/nacional/2020/10/22/chuquisaca-divide-bancada-alta-en-dos-frentes-272408.html;https://fdocuments.ec/reader/full/curriculo-datos-personales-farjat-silviapdf-sucre-del-proyecto-sucre-11;https://registronacional.com/bolivia/candidatos/senadores/2020/chuquisaca.htm;https://isbn.cloud/en/9789995423261/seminarios-internacionales-neoconstitucionalismo-derechos-humanos-y-pluralismo-juridico-y-estado/;http://psephos.adam-carr.net/countries/b/bolivia/bolivia20201.txt;https://rebelion.org/en-bolivia-la-derecha-esta-al-borde-de-un-ataque-de-nervios/;https://urgente.bo/noticia/estos-son-los-perfiles-de-las-9-candidatas-primeras-senadores-por-cc;https://brujuladigital.net/politica/en-el-senado-oficialismo-y-oposicion-conforman-comisiones-y-comites-en-consenso;https://gist.github.com/nnrcschmdt/starred;https://jurisprudenciaconstitucional.com/resolucion/29817-sentencia-constitucional-0104-2001-r;https://www.noticiasfides.com/nacional/politica/congreso-elegira-entre-vinculados-con-partidos-parientes-y-cuoteados-63255;https://theworldnews.net/bo-news/comunidad-ciudadana-presenta-a-las-nueve-candidatas-a-primeras-senadoras;https://www.scribd.com/document/419082714/Senadores-Cc;http://www.coordinadoradelamujer.org.bo/protagonistas/archivos/listas/Candidaturas_CC.pdf;https://www.boe.es/diario_boe/txt.php?id=BOE-A-2008-16343
CC;Jorge Antonio Zamora Tardio;Chuquisaca;Senador;https://web.senado.gob.bo/senadoras-es/jorge-antonio-zamora-tard%C3%ADo;https://web.senado.gob.bo/sites/default/files/minutas/MC%20N%C2%B0%20008-2020-2021%20Respuesta.PDF;https://www.facebook.com/jorgeantonio.zamoratardio.9;https://www.facebook.com/JorgeZamoraSenador/;https://www.paginasiete.bo/nacional/2019/7/21/senadores-mesa-oficializo-mujeres-activistas-en-su-lista-224853.html;https://www.telefonos-bolivia.com/6440702_zamora-tardio-jorge-a;https://bolivia.vlex.com/vid/auto-n-107-2019-829227125;https://en.wikipedia.org/wiki/Current_members_of_the_Plurinational_Legislative_Assembly;https://www.aduana.gob.bo/aduana7/listado-deudores;https://www.bcb.gob.bo/webdocs/files_noticias/SEPARATA_PUBLICACION_DEUDORES_CARTERA_BCB.pdf;https://bo.linkedin.com/directory/people/j;https://bisa.com/memoria2019/memoria_bisa_2019.pdf;https://www.elmundo.es/castilla-y-leon/zamora.html;https://www.revespcardiol.org/es-sindrome-tortuosidad-arterial-un-diagnostico-avance-S0300893219305263-comprar;http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-21472011000100015;https://www.upsa.edu.bo/es/graduados-upsa;https://appsciso.uniandes.edu.co/sip/data/pdf/los_muiscas_siglo_XVI_XVII.pdf;https://www.archivoscardiologia.com/inpress.php;http://www.dicyt.umss.edu.bo/documentos/Informe%20proyectos%20I+D.pdf;https://www.municallao.gob.pe/pdf/2020/MTPE.pdf;https://redib.org/Record/oai_articulo514848-corrupci%C3%B3n-poder-y-abuso-el-caso-de-los-capitanes-a-guerra-durante-el-tard%C3%ADo-colonial-en-el-nuevo-reino-de-granada;http://www.cervantesvirtual.com/s3/BVMC_OBRAS/013/e29/868/2b2/11d/fac/c70/021/85c/e60/64/mimes/013e2986-82b2-11df-acc7-002185ce6064.pdf;http://www.coordinadoradelamujer.org.bo/protagonistas/archivos/listas/Candidaturas_CC.pdf;https://acervo.sre.gob.mx/images/libros/cultura/4_musica.pdf;https://www.analesdepediatria.org/index.php?p=revista&tipo=pdf-simple&pii=S1695403317302072;http://saludpublica.bvsp.org.bo/sbsp/contenido/antecedentes.htm;https://www.cochilco.cl/Listado%20Temtico/Franjas_metalog%C3%A9nicas_de_Los_Andes_Centrales-Post_Validaci%C3%B3n_Completo.pdf;http://www.economia.unam.mx/assets/pdfs/invecon/indiceanual;https://www.elsevier.es/es-revista-revista-mexicana-oftalmologia-321-articulo-mucormicosis-un-paciente-con-aplasia-X0187451913266161;https://dji.pide.gob.pe/consultas-dji/dji-enti.php?ruc_enti=20131257750
CC;Santiago Ticona Yupari;Chuquisaca;Senador;https://web.senado.gob.bo/senadoras-es/santiago-ticona-yupari;https://web.senado.gob.bo/legislativa/brigadas;https://www.facebook.com/SenadoBolivia/videos/22-de-enero-d%C3%ADa-del-estado-plurinacional/409636260263943/;https://www.gacetamunicipalsucre.gob.bo/modules/info.php?t=resoluciones&id=16218;https://www.paginasiete.bo/nacional/2020/10/22/chuquisaca-divide-bancada-alta-en-dos-frentes-272408.html;https://correodelsur.com/local/20191020_conozca-como-estaria-conformada-la-brigada-de-asambleistas-de-chuquisaca.html;https://sucre.bo/verifican-ejecucion-de-obras-en-el-mercado-san-antonio/;http://psephos.adam-carr.net/countries/b/bolivia/bolivia20201.txt;https://www.usfx.bo/documentos/Preuniversitarios/NominaCursoPreUniversitario2020_11_11_2020_14_10.pdf;http://www.seal.com.pe/clientes/Fise/2020-08%20RelacionBeneficiariosFISE.pdf;https://gist.github.com/mauforonda/90a3ec932b46aa79c69cf6000c81ee42;https://www.pension65.gob.pe/wp-content/uploads/2018/06/vigilancia-201205.xlsx;https://cdn.www.gob.pe/uploads/document/file/2160650/Anexo%20n.%C2%B0%202%20-%20Relaci%C3%B3n%20de%20postulantes%20no%20seleccionados.pdf.pdf;https://pt.scribd.com/document/520068949/SENADORES-de-Bolivia;https://www.mindef.gob.pe/informacion/documentos/fallecidos_discapacitados_EP_002.pdf;https://www.aps.gob.bo/component/rsfiles/Vista%20previa?path=DP%252FEstadisticas%252FOperaciones%2By%2BControl%252FFondo%2Bde%2BAhorro%2BPrevisional%252FMora%2Ben%2Bel%2BSIP%252FContribuyentes%2Ben%2BMora%252FAFP%2B-%2BBBVA%2BPrevision%252FMora%2BGeneral%2Bal%2BSSO%2By%2BSIP%252F2020%252FSeptiembre.pdf;https://www.cmp.org.pe/wp-content/uploads/2020/03/cursos-2014-1.pdf;https://www.buenosaires.gob.ar/sites/gcaba/files/listdo_postulantes_definitivo.pdf;http://evaluaciondocente.perueduca.pe/media/11575944428Lista_Total_EDD_Primaria_T1.pdf;http://www.minedu.gob.pe/coar/pdf/2021/lista-de-postulantes-aptos-pua-2021.pdf;http://www.municallao.gob.pe/pdf/planilla-personal/CUADRO%20DE%20PLANILLA%20DE%20PERSONAL%20-%20Segundo%20Trimestre.pdf;https://www.mef.gob.pe/contenidos/archivos-descarga/Lista_de_micro_y_pequenas_empresas_FAE-Mype.xlsx;https://cybertesis.unmsm.edu.pe/bitstream/handle/20.500.12672/4191/Colachahua_bm.pdf?sequence=1&isAllowed=y;https://latinrev.flacso.org.ar/revistas/mica-matematicas-ingenenierias-ciencias-ambientales?title=&tematicas=All&country=All&city=&field_r_institucion_tid=&field_r_frecuencia_tid=All&order=country&sort=asc&page=29;https://pe.linkedin.com/directory/people/k;http://www.ms.gba.gov.ar/ssps/residencias/concurso2019/Res-2019-Habilitados.pdf;https://www.minsa.gob.pe/Recursos/OGGRH/Comisiones/nombramiento2015/Reporte-total-04122015-1.pdf;http://www.corpac.gob.pe/ASPLib/StorageManager.ASP?Mode=D&Name=RP%5FJulio2019%2Exls&File=%2FStorage%2FDocumentos%2FArchivo%2F35546%2Dw5Xb6Qj0Di6Lk1C%2Exls&Type=application%2Fvnd%2Ems%2Dexcel&Audit=StorageManager%5FDoc%5FSetD&ID=35546;http://portal.osce.gob.pe/osce/sites/default/files/AUTOMATICOS%20NATURAL%20JURIDICO_18.pdf;https://ctmperu.org.pe/views/darticulo/Relacion%20de%20licenciados%2030%20a%C3%B1os.pdf
CC;Sarai Betsabeth Reinaga La Madrid;Chuquisaca;Senador;https://www.senado.gob.bo/senadoras-es/sarai-betsabeth-reinaga-la-madrid;https://web.senado.gob.bo/content/pl-n%C2%B0-0872020-2021-cs;https://www.facebook.com/SaraiReinagaLaMadridOficial/;https://www.facebook.com/saraireinaga/;https://registronacional.com/bolivia/candidatos/senadores/2020/chuquisaca.htm;https://ao.wikiqube.net/wiki/Current_members_of_the_Plurinational_Legislative_Assembly;https://en.wikipedia.org/wiki/Current_members_of_the_Plurinational_Legislative_Assembly;https://gist.github.com/nnrcschmdt/starred?direction=asc&sort=updated;https://www.passeidireto.com/arquivo/84116603/candidaturas-habilitadas-cc-17-10-20;http://dgfm.minedu.gob.bo/ap/web/index.php/archivo/descargarESFM/748;https://bolivia-2020.vercel.app/candidatos/candidatos;https://www.usfx.bo/documentos/Preuniversitarios/NominaCursoPreUniversitario2020_11_11_2020_14_10.pdf;http://previous.unmsm.edu.pe/transparencia/archivos/01266-R-20-Codigos.pdf;http://www.sideso.cdmx.gob.mx/documentos/padrones/dif/MADRES%20SOLTERAS.pdf;https://www.argentina.gob.ar/sites/default/files/marzo_2018.pdf;http://doc.contraloria.gob.pe/uneteanuestroequipo/documentos/listado_rs.pdf;http://www.umss.edu.bo/wp-content/uploads/2020/10/CIENCIAS-Y-TECNOLOGIA.pdf;https://www.gob.mx/cms/uploads/attachment/file/589670/Resultados_JEF_Sept2020_UBBJG__1_.pdf;https://gamoruro.com/imagenes/pdf/otros/habilitados_0002.pdf;http://www.upm.es/sfs/Rectorado/Vicerrectorado%20de%20Doctorado%20y%20Postgrado/Negociados%20de%20Doctorado%20y%20Postgrado/Portada/listado_admision_provisional_2018_09_01.pdf;https://www.munisjm.gob.pe/PDF/sis_sjm.pdf;https://www.ipomex.org.mx/ipo/archivos/downloadAttach/221984.web;https://www.registrocivil.cl/PortalOI/PDF/Documentos_para_entrega.pdf;http://www.essalud.gob.pe/noticias/cafae/PADRON_ELECTORAL_2019.pdf;https://www.ieem.org.mx/2021/candidaturas_2021/docs/rptPublicacionPlanillasAyuntamientos_88_ACUERDO_113.pdf;http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-33232006000100007;https://cnp.org.pe/wp-content/uploads/2019/04/ilovepdf_merged-2.pdf;http://www.asociacionesreligiosas.gob.mx/work/models/AsociacionesReligiosas/pdf/Numeralia/MC_por_SGAR.pdf;http://www.sedesol.gob.mx/work/models/SEDESOL/Transparencia/TransparenciaFocalizada/directorio_ei_junio_2016.pdf;https://www.uandina.edu.pe/descargas/documentos/2021/tercio-superior-cusco.pdf
MAS-IPSP;Roberto Padilla Bedoya;Chuquisaca;Senador;https://web.senado.gob.bo/senadoras-es/roberto-padilla-bedoya;https://web.senado.gob.bo/legislativa/comisiones-permanentes/comision-politica-internacional;https://twitter.com/senadobolivia/status/1342543972468744192?lang=en;https://bo.linkedin.com/in/senador-roberto-padilla-bedoya-4a6b10217?trk=public_profile_samename-profile;https://bo.linkedin.com/in/roberto-padilla-bedoya-612306187;https://ne-np.facebook.com/SenadoBolivia/videos/el-senador-roberto-padilla-bedoya-emite-su-mensaje-por-el-d%C3%ADa-de-san-roque/551434272858231/;https://correodelsur.com/politica/20201130_seis-senadores-del-mas-declararon-ante-la-contraloria-tener-bs-00-00-en-bienes.html;https://overseas.mofa.go.kr/bo-ko/brd/m_6057/view.do?seq=1346201;https://www.parlamentocubano.gob.cu/index.php/senadores-bolivianos-rechazan-bloqueo-de-estados-unidos-contra-cuba/;https://www.youtube.com/channel/UCS0Lupf-dRTvlwRI_6XyEpA;https://www.paginasiete.bo/nacional/2020/10/23/conozca-los-nuevos-senadores-de-bolivia-272602.html;https://www.ahoraelpueblo.bo/la-asamblea-legislativa-de-bolivia-repudia-bloqueo-de-eeuu-contra-cuba/;https://www12.senado.leg.br/noticias/materias/2021/08/25/comissoes-de-relacoes-exteriores-da-america-do-sul-farao-audiencia-promovida-pelo-senado;https://www.prensa-latina.cu/index.php/component/content/?o=rn&id=468749&SEO=ente-legislativo-boliviano-repudio-bloqueo-estadounidense-contra-cuba;https://www.trendsmap.com/twitter/tweet/1441551172318474242;https://es.wikipedia.org/wiki/Milton_Bar%C3%B3n;https://allevents.in/mobile/amp-event.php?event_id=200021669750146;https://www.telesurenglish.net/news/Bolivias-Senate-Rejects-US-Blockade-in-Cuba-20210812-0021.html;http://www.trabajadores.cu/20210811/senadores-bolivianos-rechazan-bloqueo-de-estados-unidos-contra-cuba/;http://www.psuv.org.ve/temas/noticias/ente-legislativo-boliviano-repudio-bloqueo-estadounidense-contra-cuba/;http://www.elalteno.com.bo/bolivia/20201130/seis-senadores-del-mas-declararon-ante-la-contraloria-tener-bs-0000-en-bienes;http://www.oxigeno.bo/pol%C3%ADtica/46008;https://www.prensalatina.com.br/index.php/component/search/?o=rn&id=43786&SEO=legislativo-boliviano-repudia-bloqueio-dos-eua-a-cuba;https://www.plenglish.com/index.php?o=rn&id=70559&SEO=bolivian-legislative-body-repudiates-us-blockade-against-cuba;https://www.ccc.org.co/inc/uploads/2018/03/directorio-colaboradores-ccc-2018.pdf;https://registronacional.com/bolivia/candidatos/senadores/2020/chuquisaca.htm;https://today.in-24.com/News/229887.html;https://www.registraduria.gov.co/-Camara4280-.html;https://lapatria.bo/2020/11/30/senadores-del-mas-declararon-ante-la-contraloria-tener-bs-00-00-en-bienes/;http://www.ruv.gob.pe/archivos/ListadoPendientes.pdf
MAS-IPSP;Laura Miguelina Parraga León;Chuquisaca;Senador;https://web.senado.gob.bo/content/pl-n%C2%B0-1032020-2021-cs;https://web.senado.gob.bo/sites/default/files/resolu/RC%20N%C2%B0%20008-2020-2021.PDF;https://www.paginasiete.bo/nacional/2020/10/23/conozca-los-nuevos-senadores-de-bolivia-272602.html;https://m.facebook.com/profile.php?id=100058134786367;https://registronacional.com/bolivia/candidatos/senadores/2020/chuquisaca.htm;https://ao.wikiqube.net/wiki/Current_members_of_the_Plurinational_Legislative_Assembly;https://www.spantip.com/wiki/Current_members_of_the_Plurinational_Legislative_Assembly;https://cnnespanol.cnn.com/wp-content/uploads/2020/02/candidaturas_mas-ipsp_eg_2020-1.pdf;https://en.wikipedia.org/wiki/Current_members_of_the_Plurinational_Legislative_Assembly;https://www.aduana.gob.bo/aduana7/Proveedores%20de%20Servicios%20Generales?page=9;https://www.scribd.com/document/480510898/Candidaturas-Habilitadas-MAS-IPSP-17-10-20;https://www.afp-futuro.com/www/doc/doc/Recna7.xls;https://www.upsa.edu.bo/es/graduados-upsa;http://www.uajms.edu.bo/wp-content/uploads/2021/09/listas_enfermeria.pdf;https://files.uagrm.edu.bo/entidad/215/file/2_EST._PADRON_OFICIAL_PARA_RECTOR_Y_VICERRECTOR.pdf;http://www.umss.edu.bo/wp-content/uploads/2020/10/CIENCIAS-ECONOMICAS.pdf;https://pl.hrvwiki.net/wiki/Current_members_of_the_Plurinational_Legislative_Assembly;https://www.prevision.com.bo/archivos/docs/limites_solidarios_012018.pdf;https://www.bcb.gob.bo/webdocs/files_noticias/SEPARATA_PUBLICACION_DEUDORES_CARTERA_BCB.pdf;https://www.indh.cl/bb/wp-content/uploads/2017/01/NominaPPT2011.pdf;https://www.usfx.bo/documentos/Preuniversitarios/NominaCursoPreUniversitarioConGrupos.pdf;https://lapatria.bo/wp-content/uploads/2020/09/MAS-IPSP-HABILITADOS-13-09-EG-2020.pdf;https://www.juntadeandalucia.es/educacion/portals/delegate/content/f07e746a-ab9f-475f-9431-80b6ded9ae56/(034)%20EDUCACI%C3%93N%20F%C3%8DSICA;http://salud.jujuy.gob.ar/wp-content/uploads/sites/14/2021/03/San-Pedro-27-03-FR18a59.pdf;https://www.yumpu.com/es/document/view/64702947/2020;http://www.emacruz.com.bo/wp-content/uploads/2021/09/RecicladoresSeptiembre2021.pdf;http://www.ajb.org.ar/wp-content/uploads/PADRON-ACTIVOS-21-8-15z.pdf;https://www.comunidad.madrid/sites/default/files/doc/vivienda/alqcovid19_requeridos_subsanar_02_2021.pdf;https://www.anses.gob.ar/sites/default/files/archivo/2018-10/cpacf1.pdf;https://miempresa.gob.bo/docs/SEPARATA%20DEPURADAS%202021.pdf
MAS-IPSP;Trinidad Rocha Robles;Chuquisaca;Senador;https://web.senado.gob.bo/senadoras-es/trinidad-rocha-robles;https://web.senado.gob.bo/content/pl-n%C2%B0-0422020-2021-cs;https://www.facebook.com/nelidasifuentescueto/posts/trinidad-rocha-robles-senadora-titular-y-germ%C3%A1n-moscoso-arancibia-senador-suplen/2719266615011143/;https://www.facebook.com/TrinidadRochaRobles/;https://www.noticiasfides.com/nacional/politica/seis-senadores-del-mas-declararon-ante-la-procuraduria-tener-bs-0000-en-bienes-407293;https://www.paginasiete.bo/nacional/2020/10/23/conozca-los-nuevos-senadores-de-bolivia-272602.html;https://www.paginasiete.bo/nacional/2020/10/22/chuquisaca-divide-bancada-alta-en-dos-frentes-272408.html;https://en.wikipedia.org/wiki/Current_members_of_the_Plurinational_Legislative_Assembly;http://www.owensbrumley.com/obituary/5042844;https://viralbolivia.info/tag/trinidad-rocha-robles/;https://issuu.com/periodicobolivia/docs/especial_paz_para_decidir;https://twitter.com/fabiana1314?lang=es;https://www.defensoria.gob.bo/uploads/files/movilidad-humana-interna.pdf;https://registronacional.com/bolivia/candidatos/senadores/2020/chuquisaca.htm;https://www.cns.gob.bo/Site/autoridades;https://repositorio.cepal.org/handle/11362/45051;https://www.bancounion.com.bo/GrupoUnion/RematesJudiciales;https://www.bg.com.bo/institucional/directorio-y-principales-ejecutivos/;http://gamadero.gob.mx/doctos/PadronImpulsoSocialAdultoMayor.pdf;http://www.senado.gov.co/index.php/documentos/senado-prensa/declaracion-de-compromisos-congreso-abierto/seguimiento-y-monitoreo/1237-conformacion-utl-enero-2016-senadores/file;https://www.afp-futuro.com/www/doc/doc/recna072017.xls;https://www.cjf.gob.mx/directorios/adminreg2.aspx;http://www.cucei.udg.mx/es/comunidad/academicos;https://resourcecentre.savethechildren.net/countries/trinidad-and-tobago;https://bo.linkedin.com/directory/people/t;https://www.chiapas.gob.mx/funcionarios/estatal/judicial/tribunal-superior;http://data.seduvi.cdmx.gob.mx:8080/ventanillaUnica/dro/buscarPorNombre;https://www.consejoanestesia.org/dirAnestesiologia.php;https://www.senado.gob.mx/64/diario_de_los_debates/documento/959;http://www.transparenciamorelos.mx/sites/default/files/Ejecutivo_Auxiliar/SESAMOR/oe2/Mayo_2015_0.pdf
MAS-IPSP;Germán Moscoso Arancibia;Chuquisaca;Senador;https://web.senado.gob.bo/senadoras-es/german-moscoso-arancibia;https://m.facebook.com/German-Moscoso-Arancibia-106320061314100/;https://www.facebook.com/German-Moscoso-Arancibia-106320061314100/posts;https://www.paginasiete.bo/nacional/2020/10/23/conozca-los-nuevos-senadores-de-bolivia-272602.html;https://en.wikipedia.org/wiki/Current_members_of_the_Plurinational_Legislative_Assembly;https://ao.wikiqube.net/wiki/Current_members_of_the_Plurinational_Legislative_Assembly;https://medios.economiayfinanzas.gob.bo/MH/documentos/Recursos_Humanos/LISTADO_DE_SERVIDORAS_Y_SERVIDORES_P%C3%9ABLICOS__NOVIEMBRE_2019.pdf;https://www.defensoria.gob.bo/uploads/files/movilidad-humana-interna.pdf;http://americo.usal.es/oir/legislatina/bolivia.htm;https://cl.linkedin.com/in/cristian-german-veliz-arancibia-a25b58166;https://www.aduana.gob.bo/aduana7/listado-deudores;https://www.upsa.edu.bo/es/graduados-upsa;https://www.bcb.gob.bo/webdocs/files_noticias/SEPARATA_PUBLICACION_DEUDORES_CARTERA_BCB.pdf;https://repositorio.cepal.org/handle/11362/23370;http://sibsc.com/docs/SANTA%20CRUZ%20(Medicos).pdf;https://clinicafoianini.com/especialidades/especialidades-medicas/;http://www2.facso.uchile.cl/psicologia/postgrado/magister/comunitaria/tesis.html;https://www.afp-futuro.com/www/doc/DENRS.xls;https://www.minedu.gob.bo/files/ministerio-educacion/veaye/LISTA-DE-CENTROS---CEAS-CEP-CEEE---SANTA-CRUZ-ok.pdf;https://www.senapi.gob.bo/sites/default/files/senapi/gaceta/gaceta-7-dautor-20210526.pdf;https://www.yumpu.com/es/document/view/3726973/orden-especial-comando-general-de-policia-boliviana;https://www.indh.cl/bb/wp-content/uploads/2017/01/NominaPPT2011.pdf;https://usfx.bo/becas/Beca-alimentaria-b.html;https://institucional.entel.bo/inicio3.0/index.php/r-r-h-h/nomina-de-dependientes;https://aplicaciones.aps.gob.bo/reportes_asp/rmi/tarjeta.asp?c=51967&t=2&tr=3;https://edictos.organojudicial.gob.bo/;https://www.upb.edu/en/alumni/view/8/LA-PAZ/node/6624;https://www.mintrabajo.gob.bo/wp-content/uploads/2021/03/1.-Comunicado-08-Evaluacion-de-Desempeno-2020.pdf;http://sucre.bo/wp-content/uploads/2019/07/PREDIOS-OBSERVADOS-2019-part-1.pdf;https://registronacional.com/bolivia/candidatos/senadores/2020/chuquisaca.htm
CC;Cecilia Isabel Requena Zarate;La Paz;Senador;https://web.senado.gob.bo/senadoras-es/cecilia-isabel-requena-z%C3%A1rate;https://www.facebook.com/carlosdmesag/photos/cecilia-requena-z%C3%A1ratenaci%C3%B3-en-la-paz-investigadora-docente-y-activista-por-el-m/423545674908979/;https://www.facebook.com/CeciliaRequenaZarate;https://bo.linkedin.com/in/cecilia-isabel-requena-z%C3%A1rate-5a2055213;https://bo.linkedin.com/in/cecilia-requena-7bb91a23;https://www.bibvirtual.ucb.edu.bo/opac/Record/16180;https://latinamerica.hss.de/bolivia/publicaciones/;https://erbol.com.bo/opinion/los-candidatos-en-franja-para-la-paz;http://www.elalteno.com.bo/ciudad/20190716/cecilia-requena-primera-senaturia-de-la-paz-por-cc;https://es.wikipedia.org/wiki/Anexo:Senadores_de_La_Paz;https://www.ahoraelpueblo.bo/los-primeros-pasos-de-arce-son-para-recuperar-la-economia/;https://registronacional.com/-Cec%20Bolivia;https://bolivia.vlex.com/vid/sentencia-n-0240-2020-869190084;https://ao.wikiqube.net/wiki/Current_members_of_the_Plurinational_Legislative_Assembly;https://www.atb.com.bo/pol%C3%ADtica/senado-concluye-conformaci%C3%B3n-de-comisiones-y-comit%C3%A9s-para-la-legislatura-2020-2021;http://psephos.adam-carr.net/countries/b/bolivia/bolivia20201.txt;http://www.oas.org/es/sap/dgpe/escuelagob/imgs/AgendayBios-Bolivia.pdf;https://www.defensoria.gob.bo/uploads/files/movilidad-humana-interna.pdf;https://correodelsur.com/politica/20201110_senado-conforma-comisiones-de-trabajo-para-el-periodo-2020-2021.html;http://autonomias.gobernacionlapaz.com/medio-ambiente-cambio-climatico/;https://brujuladigital.net/politica/en-el-senado-oficialismo-y-oposicion-conforman-comisiones-y-comites-en-consenso;https://plurinacional.info/2020/10/24/los-nuevos-senadores-de-bolivia-2020-2025/;https://www.afp-futuro.com/www/doc/doc/recna102013.xls;https://urgente.bo/noticia/conoce-los-principales-candidatos-senadores-y-diputados;https://bolivia-2020.vercel.app/candidatos/candidatos;https://www.passeidireto.com/arquivo/84116603/candidaturas-habilitadas-cc-17-10-20;https://www.calameo.com/books/0054123712eb5990f3fb1;https://www.opinion.com.bo/articulo/escenario-politico1/conoce-principales-candidatos-senadores-diputados/20200204154737749374.html;https://www.indh.cl/bb/wp-content/uploads/2017/01/NominaPPT2011.pdf;https://repositorio.cepal.org/handle/11362/36629
CC;Porfirio Ovidio Menacho Tarquino;La Paz;Senador;https://web.senado.gob.bo/senadoras-es/porfirio-ovidio-menacho-tarquino;https://web.senado.gob.bo/content/dc-n%C2%B0-2222020-2021;https://es.panjiva.com/Porfirio-Ovidio-Menacho-Tarquino/44892559;https://www.anh.gob.bo/g.php?myfile=InsideFiles/Actividad/Dj/RA-2011/RA-1543-2011.pdf;https://www.telefonos-bolivia.com/2812421_menacho-tarquino-porfirio-ovidio;https://en.52wmb.com/buyer/20822970;https://plurinacional.info/2020/10/24/los-nuevos-senadores-de-bolivia-2020-2025/;https://matchory.com/company/porfirio-ovidio-menacho-tarquino;https://ao.wikiqube.net/wiki/Current_members_of_the_Plurinational_Legislative_Assembly;https://fr.importgenius.com/importers/porfirio-ovidio-menacho-tarquino;https://www.paginasiete.bo/nacional/2020/10/23/conozca-los-nuevos-senadores-de-bolivia-272602.html;https://www.infodriveindia.com/companyg/porf-01;https://registronacional.com/bolivia/candidatos/senadores/2020/la-paz.htm;http://www.elalteno.com.bo/ciudad/20200205/en-la-lista-de-candidatos-no-estan-los-lideres-notables-de-el-alto;https://en.wikipedia.org/wiki/Current_members_of_the_Plurinational_Legislative_Assembly;https://gist.github.com/mauforonda/f9edc67f9df824e9c24871fabe9a718f;https://www.defensoria.gob.bo/uploads/files/movilidad-humana-interna.pdf;https://www.bcb.gob.bo/webdocs/files_noticias/SEPARATA_PUBLICACION_DEUDORES_CARTERA_BCB.pdf;https://www.passeidireto.com/arquivo/84116603/candidaturas-habilitadas-cc-17-10-20;https://pl.hrvwiki.net/wiki/Current_members_of_the_Plurinational_Legislative_Assembly;https://pdfslide.net/documents/nicolas-menacho-tarabillo.html;https://www.cps.org.bo/sites/default/files/institucional/Recursos%20Humanos%20Caja%20Petrolera%20de%20Salud.pdf;https://www.mindef.gob.bo/mindef/sites/default/files/files/LISTA%20DE%20PROVEEDORES%202021.pdf;https://miempresa.gob.bo/docs/SEPARATA%20DEPURADAS%202021.pdf;https://www.afp-futuro.com/www/doc/doc/Recna6.xls;https://de.wikibrief.org/wiki/Current_members_of_the_Plurinational_Legislative_Assembly;https://www.prevision.com.bo/archivos/docs/limites_solidarios_012018.pdf;https://www.sibsc.com/afiliados.php;http://www.elalto.gob.bo/12271-2/;https://servicios.ait.gob.bo/admin/docres/ARIT-CHQ-RA-0061-2013.PDF
